Timestamp,CarOrdinalID,CarClass,CarPerformanceIndex,DriveTrainType,NumCylinders,EngineMaxRPM,EndingeIdelRPM,EngineCurrentRPM,Speed,Power,Torque,Boost,Gear,Accel,Brake,Clutch,HandBrake,Fuel
2024-01-31 22:15:17.237666,2352,6,836,2,6,8999.9951,799.9995,800.0101,0,0,0,-11.025,1,0,0,0,100,1.0
2024-01-31 22:15:17.285079,2352,6,836,2,6,8999.9951,799.9995,703.9363,0,0.1716,1.2812,-13.4559,1,0,0,0,100,1.0
2024-01-31 22:15:17.288567,2352,6,836,2,6,8999.9951,799.9995,709.192,0,0.1729,1.2812,-12.1986,1,0,0,0,0,1.0
2024-01-31 22:15:17.296545,2352,6,836,2,6,8999.9951,799.9995,710.1595,0,0.1731,1.2812,-12.0519,1,0,0,0,0,1.0
2024-01-31 22:15:17.311960,2352,6,836,2,6,8999.9951,799.9995,712.0062,0,0.1736,1.2812,-11.8205,1,0,0,0,0,1.0
2024-01-31 22:15:17.328903,2352,6,836,2,6,8999.9951,799.9995,713.8465,0,0.174,1.2812,-11.6413,1,0,0,0,0,1.0
2024-01-31 22:15:17.345829,2352,6,836,2,6,8999.9951,799.9995,715.7232,0,0.1745,1.2812,-11.5004,1,0,0,0,0,1.0
2024-01-31 22:15:17.361793,2352,6,836,2,6,8999.9951,799.9995,717.5242,0,0.1749,1.2812,-11.3954,1,0,0,0,0,1.0
2024-01-31 22:15:17.378250,2352,6,836,2,6,8999.9951,799.9995,719.3714,0,0.1754,1.2812,-11.3119,1,0,0,0,0,1.0
2024-01-31 22:15:17.395569,2352,6,836,2,6,8999.9951,799.9995,721.2156,0,0.1758,1.2812,-11.2471,1,0,0,0,0,1.0
2024-01-31 22:15:17.412496,2352,6,836,2,6,8999.9951,799.9995,723.0511,0,0.1763,1.2812,-11.1972,1,0,0,0,0,1.0
2024-01-31 22:15:17.428936,2352,6,836,2,6,8999.9951,799.9995,724.8898,0,0.1767,1.2812,-11.1585,1,0,0,0,0,1.0
2024-01-31 22:15:17.446357,2352,6,836,2,6,8999.9951,799.9995,726.8455,0,0.1772,1.2812,-11.1268,1,0,0,0,0,1.0
2024-01-31 22:15:17.461756,2352,6,836,2,6,8999.9951,799.9995,728.5705,0,0.1776,1.2812,-11.1052,1,0,0,0,0,1.0
2024-01-31 22:15:17.479060,2352,6,836,2,6,8999.9951,799.9995,730.413,0,0.1781,1.2812,-11.0871,1,0,0,0,0,1.0
2024-01-31 22:15:17.495507,2352,6,836,2,6,8999.9951,799.9995,732.2551,0,0.1785,1.2812,-11.0731,1,0,0,0,0,1.0
2024-01-31 22:15:17.512071,2352,6,836,2,6,8999.9951,799.9995,734.0941,0,0.179,1.2812,-11.0623,1,0,0,0,0,1.0
2024-01-31 22:15:17.529059,2352,6,836,2,6,8999.9951,799.9995,735.9374,0,0.1794,1.2812,-11.0539,1,0,0,0,0,1.0
