Timestamp,CarOrdinalID,CarClass,CarPerformanceIndex,DriveTrainType,NumCylinders,EngineMaxRPM,EndingeIdelRPM,EngineCurrentRPM,Speed,Power,Torque,Boost,Gear,Accel,Brake,Clutch,HandBrake,Fuel,roundedCurrentRPM,roundedPower,roundedTorque
2024-01-31 22:17:44.008272,2352,6,836,2,6,9000,800,694.636,13,0.1693,1.2812,-0.722,3,0,100,0,0,1.0,695,0,1
2024-01-31 22:17:43.992172,2352,6,836,2,6,9000,800,1090.5575,17,0,0,2.2862,3,0,100,0,0,1.0,1091,0,0
2024-01-31 22:17:44.026012,2352,6,836,2,6,9000,800,1373.583,10,119.5156,501.2458,0.1974,3,0,100,0,0,1.0,1374,120,501
2024-01-31 22:17:43.975196,2352,6,836,2,6,9000,800,2082.467,27,0,0,6.1643,3,0,100,0,0,1.0,2082,0,0
2024-01-31 22:17:44.042326,2352,6,836,2,6,9000,800,2191.9902,8,229.4836,587.9623,3.5471,3,0,100,0,0,1.0,2192,229,588
2024-01-31 22:17:43.958658,2352,6,836,2,6,9000,800,3097.9209,27,102.1199,167.6655,5.1926,3,0,100,0,0,1.0,3098,102,168
2024-01-31 22:16:08.344018,2352,6,836,2,6,9000,800,3685.8743,59,0,0,-0.2699,3,100,0,0,0,1.0,3686,0,0
2024-01-31 22:16:08.327576,2352,6,836,2,6,9000,800,3740.4341,59,0,0,2.847,3,100,0,0,0,1.0,3740,0,0
2024-01-31 22:16:07.860949,2352,6,836,2,6,9000,800,3918.6099,62,0,0,-6.4451,3,0,0,0,0,1.0,3919,0,0
2024-01-31 22:16:07.844522,2352,6,836,2,6,9000,800,4009.719,62,0,0,-5.1101,3,0,0,0,0,1.0,4010,0,0
2024-01-31 22:16:08.477461,2352,6,836,2,6,9000,800,4053.1458,58,0,0,9.1759,3,100,0,0,0,1.0,4053,0,0
2024-01-31 22:16:08.094379,2352,6,836,2,6,9000,800,4080.8403,60,0,0,2.7698,3,100,0,0,0,1.0,4081,0,0
2024-01-31 22:16:08.211045,2352,6,836,2,6,9000,800,4175.9561,59,482.6622,611.2973,6.9212,3,100,0,0,0,1.0,4176,483,611
2024-01-31 22:16:07.877421,2352,6,836,2,6,9000,800,4216.4053,62,0,0,-7.4715,3,0,0,0,0,1.0,4216,0,0
2024-01-31 22:16:08.644990,2352,6,836,2,6,9000,800,4257.3706,58,537.2429,667.8822,12.1058,3,100,0,0,0,1.0,4257,537,668
2024-01-31 22:16:08.493940,2352,6,836,2,6,9000,800,4277.8301,58,518.0444,643.483,10.5867,3,100,0,0,0,1.0,4278,518,643
2024-01-31 22:16:14.044003,2352,6,836,2,6,9000,800,4301.4365,65,0,0,3.8366,3,0,0,0,0,1.0,4301,0,0
2024-01-31 22:16:08.110865,2352,6,836,2,6,9000,800,4313.5298,60,475.1314,585.9598,5.6282,3,100,0,0,0,1.0,4314,475,586
