Timestamp,CarOrdinalID,CarClass,CarPerformanceIndex,DriveTrainType,NumCylinders,EngineMaxRPM,EndingeIdelRPM,EngineCurrentRPM,Speed,Power,Torque,Boost,Gear,Accel,Brake,Clutch,HandBrake,Fuel,roundedCurrentRPM,roundedPower,roundedTorque
2024-01-31 22:15:45.645003,2352,6,836,2,6,9000,800,7460.5732,134,751.2482,527.4954,12.5168,5,100,0,0,0,1.0,7461,751,527
2024-01-31 22:18:02.041425,2352,6,836,2,6,9000,800,7464.792,135,780.7029,550.2857,14.6843,5,100,0,0,0,1.0,7465,781,550
2024-01-31 22:15:46.078005,2352,6,836,2,6,9000,800,7465.7363,137,789.8816,556.1031,15.4312,5,100,0,0,0,1.0,7466,790,556
2024-01-31 22:18:02.174771,2352,6,836,2,6,9000,800,7466.2563,136,788.5972,554.8761,15.3376,5,100,0,0,0,1.0,7466,789,555
2024-01-31 22:18:01.924755,2352,6,836,2,6,9000,800,7467.8896,134,734.1341,520.0641,10.952,5,100,0,0,0,1.0,7468,734,520
2024-01-31 22:18:22.890678,2352,6,836,2,6,9000,800,7469.4106,145,0,0,-11.0042,5,0,0,0,0,1.0,7469,0,0
2024-01-31 22:18:02.225278,2352,6,836,2,6,9000,800,7471.0439,137,789.4935,555.3381,15.3897,5,100,0,0,0,1.0,7471,789,555
2024-01-31 22:15:46.045090,2352,6,836,2,6,9000,800,7477.3955,137,790.3202,554.74,15.4286,5,100,0,0,0,1.0,7477,790,555
2024-01-31 22:15:45.945400,2352,6,836,2,6,9000,800,7478.3838,136,790.1575,555.6714,15.4055,5,100,0,0,0,1.0,7478,790,556
2024-01-31 22:18:22.973855,2352,6,836,2,6,9000,800,7481.3618,144,0,0,-11.0192,5,0,0,0,0,1.0,7481,0,0
2024-01-31 22:18:02.241222,2352,6,836,2,6,9000,800,7481.6016,137,789.9305,554.8042,15.3999,5,100,0,0,0,1.0,7482,790,555
2024-01-31 22:18:02.058366,2352,6,836,2,6,9000,800,7483.6875,135,782.8847,549.41,14.8533,5,100,0,0,0,1.0,7484,783,549
2024-01-31 22:16:32.126939,2352,6,836,2,6,9000,800,7484.8208,136,790.6336,555.3354,15.435,5,100,0,0,0,1.0,7485,791,555
2024-01-31 22:18:02.258300,2352,6,836,2,6,9000,800,7488.1514,137,790.2015,554.4458,15.4078,5,100,0,0,0,1.0,7488,790,554
2024-01-31 22:18:02.308232,2352,6,836,2,6,9000,800,7493.0801,137,790.5014,554.2438,15.4224,5,100,0,0,0,1.0,7493,791,554
2024-01-31 22:18:22.939818,2352,6,836,2,6,9000,800,7492.9648,144,0,0,-11.0153,5,0,0,0,0,1.0,7493,0,0
2024-01-31 22:18:02.274762,2352,6,836,2,6,9000,800,7494.8999,137,790.4889,554.1554,15.4139,5,100,0,0,0,1.0,7495,790,554
