timestamp= 2024-01-31 21:46:01.362322, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 748.6277, Speed= 0, Power= 0.1825, Torque= 1.2812, Boost= -11.03, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.379354, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 750.4694, Speed= 0, Power= 0.183, Torque= 1.2812, Boost= -11.0288, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.395855, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 752.3145, Speed= 0, Power= 0.1834, Torque= 1.2812, Boost= -11.028, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.412824, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 754.1536, Speed= 0, Power= 0.1839, Torque= 1.2812, Boost= -11.0273, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.429333, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 755.9935, Speed= 0, Power= 0.1843, Torque= 1.2812, Boost= -11.0268, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.446320, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 757.839, Speed= 0, Power= 0.1847, Torque= 1.2812, Boost= -11.0264, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.462274, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 759.6776, Speed= 0, Power= 0.1852, Torque= 1.2812, Boost= -11.0261, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.479717, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 761.5206, Speed= 0, Power= 0.1856, Torque= 1.2812, Boost= -11.0258, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.495842, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 763.3582, Speed= 0, Power= 0.1861, Torque= 1.2812, Boost= -11.0256, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
timestamp= 2024-01-31 21:46:01.513177, CarOrdinalID = 2352, CarClass= 6, CarPerformanceIndex= 836, DriveTrainType= 2, NumCylinders= 6, engine_max_rpm= 8999.9951, engine_idle_rpm= 799.9995, engine_current_rpm= 765.199, Speed= 0, Power= 0.1865, Torque= 1.2812, Boost= -11.0255, Gear= 1, Accel= 0, Brake= 0, Clutch= 0, HandBrake= 0, Fuel= 1.0
