Timestamp,CarOrdinalID,CarClass,CarPerformanceIndex,DriveTrainType,NumCylinders,EngineMaxRPM,EngineIdleRPM,EngineCurrentRPM,Speed,Power,Torque,Boost,Gear,Accel,Brake,Clutch,HandBrake,Fuel,roundedCurrentRPM,roundedPower,roundedTorque
2024-02-16 23:37:26.639334,3655,6,807,1,8,9500,800,5199.085,202,367.1727,370.7852,0.0639,7,100,0,0,0,1.0,5199,367,371
2024-02-16 23:37:27.172224,3655,6,807,1,8,9500,800,5339.0918,201,0.0,0.0,10.0357,7,100,0,0,0,1.0,5339,0,0
2024-02-16 23:37:26.705807,3655,6,807,1,8,9500,800,5498.9727,202,461.9017,442.4439,8.9401,7,100,0,0,0,1.0,5499,462,442
2024-02-16 23:37:26.688763,3655,6,807,1,8,9500,800,5528.3379,202,450.5842,425.5345,6.8746,7,100,0,0,0,1.0,5528,451,426
2024-02-16 23:37:26.755149,3655,6,807,1,8,9500,800,5550.7764,202,502.6893,475.3916,12.8093,7,100,0,0,0,1.0,5551,503,475
2024-02-16 23:37:27.156073,3655,6,807,1,8,9500,800,5552.7163,202,532.6857,503.9701,16.1627,7,100,0,0,0,1.0,5553,533,504
2024-02-16 23:37:27.139007,3655,6,807,1,8,9500,800,5554.3555,202,532.8314,503.9502,16.1605,7,100,0,0,0,1.0,5554,533,504
1/31/2024 01:00:01,3655,6,807,1,8,9500,800,,202,532.8971,503.926,0.0,7,0,0,0,0,0.0,5555,533,504
2024-02-16 23:37:27.088699,3655,6,807,1,8,9500,800,5555.8667,202,532.8722,503.8561,16.1497,7,100,0,0,0,1.0,5556,533,504
2024-02-16 23:37:27.071925,3655,6,807,1,8,9500,800,5557.354,202,532.9658,503.8041,16.1437,7,100,0,0,0,1.0,5557,533,504
1/31/2024 01:00:01,3655,6,807,1,8,9500,800,,202,533.0072,503.738,0.0,7,0,0,0,0,0.0,5559,533,504
2024-02-16 23:37:27.021872,3655,6,807,1,8,9500,800,5559.8091,202,532.9415,503.5438,16.1135,7,100,0,0,0,1.0,5560,533,504
2024-02-16 23:37:27.004739,3655,6,807,1,8,9500,800,5561.9194,202,532.9814,503.402,16.0971,7,100,0,0,0,1.0,5562,533,503
2024-02-16 23:37:26.989198,3655,6,807,1,8,9500,800,5563.1748,202,532.9028,503.2199,16.0758,7,100,0,0,0,1.0,5563,533,503
2024-02-16 23:37:26.821922,3655,6,807,1,8,9500,800,5564.2773,202,522.9376,493.7107,14.9599,7,100,0,0,0,1.0,5564,523,494
1/31/2024 01:00:01,3655,6,807,1,8,9500,800,,202,532.7705,502.9855,0.0,7,0,0,0,0,0.0,5565,533,503
1/31/2024 01:00:01,3655,6,807,1,8,9500,800,,202,532.5392,502.6836,0.0,7,0,0,0,0,0.0,5566,533,503
2024-02-16 23:37:26.838942,3655,6,807,1,8,9500,800,5569.3306,202,525.764,496.032,15.2326,7,100,0,0,0,1.0,5569,526,496
2024-02-16 23:37:26.856100,3655,6,807,1,8,9500,800,5569.626,202,527.8226,497.829,15.4439,7,100,0,0,0,1.0,5570,528,498
2024-02-16 23:37:26.805354,3655,6,807,1,8,9500,800,5573.5234,202,520.8508,490.6981,14.6078,7,100,0,0,0,1.0,5574,521,491
2024-02-16 23:37:26.788610,3655,6,807,1,8,9500,800,5584.9067,202,517.4566,486.8234,14.1534,7,100,0,0,0,1.0,5585,517,487
2024-02-16 23:37:26.738966,3655,6,807,1,8,9500,800,5601.0913,202,498.7296,466.9773,11.8316,7,100,0,0,0,1.0,5601,499,467
2024-02-16 23:37:26.655979,3655,6,807,1,8,9500,800,5605.2998,202,410.5888,390.3146,2.4081,7,100,0,0,0,1.0,5605,411,390
2024-02-16 23:37:26.721999,3655,6,807,1,8,9500,800,5611.3213,202,486.2461,456.2908,10.5694,7,100,0,0,0,1.0,5611,486,456
2024-02-16 23:37:26.672123,3655,6,807,1,8,9500,800,5753.9844,202,447.8043,407.5893,4.664,7,100,0,0,0,1.0,5754,448,408
2024-02-16 23:37:26.621804,3655,6,807,1,8,9500,800,5784.0884,202,396.2748,348.4907,-2.4619,7,100,0,0,0,1.0,5784,396,348
