Timestamp,CarOrdinalID,CarClass,CarPerformanceIndex,DriveTrainType,NumCylinders,EngineMaxRPM,EngineIdleRPM,EngineCurrentRPM,Speed,Power,Torque,Boost,Gear,Accel,Brake,Clutch,HandBrake,Fuel,roundedCurrentRPM,roundedPower,roundedTorque
2024-02-16 23:46:30.038070,3655,6,807,1,8,9500,800,3480.8589,50,0.0,0.0,-11.025,3,0,100,0,0,1.0,3481,0,0
2024-02-16 23:34:25.716151,3655,6,807,1,8,9500,800,3482.4536,50,0.0,0.0,-11.025,3,0,100,0,0,1.0,3482,0,0
2024-02-16 23:35:29.118558,3655,6,807,1,8,9500,800,3485.7991,56,0.0,0.0,-10.9814,3,0,100,0,0,1.0,3486,0,0
2024-02-16 23:37:35.738907,3655,6,807,1,8,9500,800,3496.5671,52,0.0,0.0,-11.024,3,0,100,0,0,1.0,3497,0,0
2024-02-16 23:35:29.318193,3655,6,807,1,8,9500,800,3499.7305,51,0.0,0.0,-11.023,3,0,100,0,0,1.0,3500,0,0
2024-02-16 23:46:30.021397,3655,6,807,1,8,9500,800,3501.2937,51,0.0,0.0,-11.025,3,0,100,0,0,1.0,3501,0,0
2024-02-16 23:42:31.077736,3655,6,807,1,8,9500,800,3502.7058,50,0.0,0.0,-11.025,3,0,100,0,0,1.0,3503,0,0
2024-02-16 23:34:25.699537,3655,6,807,1,8,9500,800,3507.3857,50,0.0,0.0,-11.025,3,0,100,0,0,1.0,3507,0,0
2024-02-16 23:46:30.004601,3655,6,807,1,8,9500,800,3508.1873,51,0.0,0.0,-11.025,3,0,100,0,0,1.0,3508,0,0
2024-02-16 23:42:31.261433,3655,6,807,1,8,9500,800,3516.9417,47,0.0,0.0,-11.025,3,0,0,0,0,1.0,3517,0,0
2024-02-16 23:46:29.988056,3655,6,807,1,8,9500,800,3519.4563,51,0.0,0.0,-11.025,3,0,100,0,0,1.0,3519,0,0
2024-02-16 23:34:25.682371,3655,6,807,1,8,9500,800,3524.1487,50,0.0,0.0,-11.025,3,0,100,0,0,1.0,3524,0,0
2024-02-16 23:35:29.138116,3655,6,807,1,8,9500,800,3528.2366,56,0.0,0.0,-10.9912,3,0,100,0,0,1.0,3528,0,0
2024-02-16 23:35:29.285299,3655,6,807,1,8,9500,800,3530.8481,52,0.0,0.0,-11.0216,3,0,100,0,0,1.0,3531,0,0
2024-02-16 23:42:31.279031,3655,6,807,1,8,9500,800,3532.8293,47,0.0,0.0,-11.025,3,0,0,0,0,1.0,3533,0,0
2024-02-16 23:42:31.061663,3655,6,807,1,8,9500,800,3535.9592,50,0.0,0.0,-11.025,3,0,100,0,0,1.0,3536,0,0
2024-02-16 23:46:29.971500,3655,6,807,1,8,9500,800,3537.4358,52,0.0,0.0,-11.025,3,0,100,0,0,1.0,3537,0,0
2024-02-16 23:37:35.722719,3655,6,807,1,8,9500,800,3543.8459,52,0.0,0.0,-11.0237,3,0,100,0,0,1.0,3544,0,0
2024-02-16 23:42:31.045119,3655,6,807,1,8,9500,800,3545.6052,50,0.0,0.0,-11.025,3,0,100,0,0,1.0,3546,0,0
2024-02-16 23:46:29.954428,3655,6,807,1,8,9500,800,3547.1223,52,0.0,0.0,-11.025,3,0,100,0,0,1.0,3547,0,0
2024-02-16 23:34:25.666330,3655,6,807,1,8,9500,800,3548.4883,51,0.0,0.0,-11.025,3,0,100,0,0,1.0,3548,0,0
